List of markets for the selected product Product: 2711 Petroleum gases
"Partners"	"Balance in value in 2001"	"Balance in value in 2002"	"Balance in value in 2003"	"Balance in value in 2004"	"Balance in value in 2005"	"Balance in value in 2006"	"Balance in value in 2007"	"Balance in value in 2008"	"Balance in value in 2009"	"Balance in value in 2010"	"Balance in value in 2011"	"Balance in value in 2012"	"Balance in value in 2013"	"Exported value in 2013"	"Imported value in 2013"	
United States of America	-17,643,081	-12,354,901	-21,839,196	-24,206,844	-33,717,964	-31,054,949	-28,843,133	-30,475,280	-13,110,886	-12,796,296	-9,289,512	-3,788,338	-2,556,857	12,549,983	15,106,840	
Slovakia	-953,364	-828,238	-1,009,402	-1,042,339	-1,363,186	-1,961,460	-1,596,650	-2,654,496	-2,108,382	-2,290,042	-2,696,351	-2,586,638	-2,783,284	714,717	3,498,001	
Belarus	-567,504	-553,876	-694,343	-897,332	-865,028	-875,667	-1,958,511	-2,495,666	-2,561,028	-3,979,098	-5,172,791	-3,235,336	-3,153,430	358,472	3,511,902	
Hungary	-1,268,808	-1,218,206	-1,704,988	-1,760,109	-2,464,597	-3,327,029	-3,026,060	-5,204,994	-2,841,651	-3,150,911	-3,368,665	-3,134,802	-3,266,938	617,121	3,884,059	
Czech Republic	-1,205,537	-2,101,839	-1,298,750	-936,315	-17,778	-2,165,827	-2,229,292	-4,244,002	-2,701,031	-3,297,035	-3,376,779	-3,129,453	-3,524,113	711,843	4,235,956	
Netherlands	-1,986,744	-2,213,369	-2,624,176	-2,161,332	-3,403,020	-6,858,265	-610,768	56,857	-40,141	-12,896	-2,609,193	-437,850	-3,634,020	1,497,967	5,131,987	
Argentina	617,026	616,615	866,122	1,025,618	1,063,444	1,264,653	1,134,949	1,079,542	674,252	243,806	-1,370,218	-3,098,297	-4,266,598	707,679	4,974,277	
Mexico	-1,492,863	-1,557,941	-2,708,687	-3,415,659	-3,712,906	-3,686,036	-4,042,501	-6,152,701	-2,717,929	-3,726,985	-4,707,641	-3,847,684	-5,561,703	6,915	5,568,618	
Singapore	260,891	233,491	360,949	420,449	404,613	468,453	511,997	459,463	264,240	206,548	-4,647,085	-5,727,228	-6,278,075	256,126	6,534,201	
Thailand	-462,101	-564,614	-479,896	-766,330	-1,094,633	-1,723,116	-1,910,940	-3,513,161	-3,020,006	-3,750,032	-4,928,472	-5,586,259	-6,769,190	121,479	6,890,669	
Brazil	-763,620	-718,102	-718,843	-968,736	-1,006,523	-1,741,554	-2,083,326	-3,705,126	-2,350,011	-4,035,315	-4,535,804	-5,804,373	-7,928,431	69,515	7,997,946	
United Kingdom	1,715,729	1,881,050	2,425,296	1,119,861	-756,093	-1,411,218	-2,969,497	-6,682,865	-4,420,590	-5,736,594	-8,024,934	-6,588,181	-8,404,104	5,109,797	13,513,901	
Belgium	-2,675,473	-1,918,276	-1,596,064	-2,932,412	-5,495,458	-6,234,420	-5,357,086	-8,416,542	-5,279,132	-5,640,108	-7,071,003	-7,519,594	-8,797,521	11,991,206	20,788,727	
Taipei, Chinese	-1,363,799	-1,376,081	-1,615,419	-2,418,921	-2,963,253	-4,158,903	-4,825,288	-7,444,167	-4,591,407	-6,362,566	-9,322,572	-10,315,612	-10,829,088	124,857	10,953,945	
Ukraine	-3,186,402	-3,370,610	-2,685,301	-3,154,626	-3,462,377	-4,717,784	-6,460,256	-9,432,559	-7,999,338	-9,502,634	-14,189,179	-14,208,912	-11,821,601	355	11,821,956	
Spain	-3,090,209	-2,871,031	-3,477,035	-4,080,965	-6,717,587	-9,762,817	-10,433,645	-16,695,450	-10,632,072	-10,911,393	-13,465,331	-13,420,342	-12,258,501	2,010,010	14,268,511	
India	-202,571	-167,234	-493,741	-1,162,498	-2,023,029	-2,612,577	-3,750,836	-5,554,269	-4,027,815	-5,295,231	-10,829,791	-13,786,217	-13,955,182	317,519	14,272,701	
France	-5,541,606	-5,314,996	-6,718,815	-7,977,806	-9,541,638	-12,518,153	-12,763,108	-20,407,705	-15,102,745	-15,915,773	-19,899,901	-20,137,344	-21,279,917	3,482,317	24,762,234	
China	-1,160,301	-1,330,319	-1,820,671	-2,213,650	-2,603,944	-2,693,067	-2,539,433	-1,893,657	-2,438,603	-4,879,695	-11,670,274	-18,162,689	-22,443,389	2,212,763	24,656,152	
Italy	-352,979	-356,948	-379,123	-403,335	-452,268	-609,601	-485,893	-28,111	-24,279,820	-26,510,311	-30,679,346	-32,725,520	-28,187,142	486,266	28,673,408	
Korea, Republic of	-5,120,531	-5,329,252	-6,366,455	-8,108,913	-10,669,966	-14,569,200	-15,885,135	-24,756,865	-17,025,590	-21,586,669	-29,921,276	-33,488,265	-36,017,831	302,914	36,320,745	
Germany	-8,845,431	-9,358,043	-13,347,419	-13,170,281	-18,056,479	-27,225,096	-25,766,406	-37,944,943	-30,290,431	-27,811,427	-35,832,023	-38,946,018	-37,931,205	14,486,841	52,418,046	
Japan	-17,489,286	-15,697,582	-19,308,969	-20,399,250	-24,114,858	-30,839,933	-35,039,508	-56,475,214	-36,556,710	-48,449,220	-71,072,702	-87,873,671	-83,130,441	199,934	83,330,375	
Dominica	-1,151	-1,154	-879	-1,466	-2,009	-1,688	-1,869	-2,536	-2,038	-2,517	-3,164	-2,742				
Eritrea			-15	-979	-2,864	-431			-7,709	-19,954						
Faroe Islands	-107	-117	-167	-198	-239	-245	-285	-326	-310			-4				
Saint Kitts and Nevis	-1,839	-923	-1,124	-2,713	-1,210	-2,569	-1,770	-3,397	-1,769	-759	-426	-7				
Guinea-Bissau			-550	-3	-25		-73		-138	-161	349					
Northern Mariana Islands	-4		-122	-4	-1,521					-39						
Somalia				-2	1,080	-2	-2	18	-5	-74	-6					
Tonga	0	0	0					-1,091	-1,292	-1,735	-2,074	-1,996				
Tuvalu		-28		-1	-15	-2	-57	-16		-102	-108	-226				
West Asia not elsewhere specified		-11														
Serbia and Montenegro	-173,563	-189,748		-354,741	-55,445											
