,fund_code,index_code,direction,logistic regression,linear SVM,RBF SVM,random forest
0,GOOG/NYSE_SQQQ,YAHOO/INDEX_NDX,-3,0.5891891891891892,0.5891891891891892,0.5891891891891892,0.6243243243243243
1,GOOG/NYSEARCA_QID,YAHOO/INDEX_NDX,-2,0.5913705583756346,0.5913705583756346,0.5913705583756346,0.6256345177664975
2,GOOG/NYSE_TZA,YAHOO/INDEX_RUT,-3,0.6003584229390682,0.496415770609319,0.5842293906810037,0.6541218637992832
3,GOOG/NYSEARCA_SSO,YAHOO/INDEX_GSPC,2,0.64625,0.6012500000000001,0.6012500000000001,0.71625
4,GOOG/NYSEARCA_SPXL,YAHOO/INDEX_GSPC,3,0.5357142857142857,0.5306122448979592,0.5306122448979592,0.5612244897959184
5,GOOG/NYSEARCA_IYY,YAHOO/DWCF,1,0.6310679611650485,0.5922330097087378,0.6504854368932038,0.645631067961165
6,GOOG/NYSEARCA_IVV,YAHOO/INDEX_GSPC,1,0.5863157894736842,0.5063157894736842,0.5968421052631578,0.6705263157894736
