Date,Open,High,Low,Close
2014-06-02,704.34,708.67,700.5,704.53
2014-06-03,704.55,709.61,700.36,702.73
2014-06-04,702.74,703.26,693.86,699.93
2014-06-05,699.93,708.15,699.84,707.07
2014-06-06,707.03,715.39,706.88,711.82
2014-06-09,711.82,717.1,710.71,714.21
2014-06-10,714.22,715.5,711.38,713.47
2014-06-11,713.47,717.6,710.03,716.47
2014-06-12,716.65,722.62,716.5,719.69
2014-06-13,719.67,727.83,719.02,727.8
